Index,Name,Latitude,Longitude,Address
426,Department of Geography and Resource Development,5.650972100000001,-0.1832581,"MR28+9MQ, Doutor J. B. Danquah Avenue, Accra"
427,University Basic School  Legon,5.642704399999999,-0.1879888,"University of Ghana Stadium, Accra"
428,Maison Française Legon,5.6492965,-0.1876909,"Legon Boundary, Accra"
429,Department of Earth Science,5.650936399999999,-0.1841512,"Department of Geology, Accra"
430,Legon Centre for International Affairs and Diplomacy,5.652187600000001,-0.1839241,"J.K.M. Hodasi Road, Accra"
431,College Of Basic And Applied Sciences,5.650165499999999,-0.1836591,Accra
432,Department Of Linguistics,5.64902,-0.189642,"JRX6+J45, Accra"
433,JQB,5.6522461,-0.1817523,Accra
434,Mensah Sarbah Annex B,5.6448733,-0.185405,"JRV7+WRX, Accra"
435,Presbyterian Boys' Secondary School,5.66265,-0.1763339,"Westland Boulevard Road, Madina"
436,School of Public Health,5.636787399999999,-0.1826353,"JRP8+PW9, Accra"
437,Elizabeth Frances Sey Hall,5.635961099999999,-0.1875964,"20 Orphan Crescent, Accra"
438,Preparation For Life (PFL) Ghana,5.6410181,-0.1740063,"La Bawaleshi Road, Near Ecobank Okponglo Branch, Opposite GM Plaza Building, Accra GA417 Legon"
439,UPSA Hostel,5.6589281,-0.1714249,"MR5H+HCV, Accra"
440,The Ɔdadeɛ Alumni & Mentorship Centre,5.660544199999999,-0.1720211,"MR6H+659, Madina"
441,School of Graduate Studies,5.6532353,-0.1907917,"J.K.M. Hodasi Road, Accra"
442,Elany's Collection,5.650639399999999,-0.1870506,Accra
443,Njoy Group,5.6500033,-0.1860327,"MR27+2H4, Accra"
444,Regular Shoes Warehouse,5.6448046,-0.1856575,"JRV7+WPG, Mensah Sarbah Crescent, Accra"
445,CDH Shoes and Bags,5.653320799999999,-0.1787093,"Legon Boundary, Accra"
446,The Plug Office,5.637991,-0.1852474,"Dr Hilla Liman Hall, Accra"
447,Legon City Mall,5.6533233,-0.1789251,"University of Ghana, Legon Boundary, Accra"
448,OverStock Africa,5.650639399999999,-0.1870506,"MR27+754, Accra"
449,Foto Lady Photo Shop,5.6503945,-0.1865587,"MR27+594, Accra"
450,BAGCODEGH,5.650885000000001,-0.1914524,"commonwealth hall, University Of Ghana, Accra"
451,Maries Mart,5.647050500000001,-0.1872417,"JRW7+R4C, Accra"
452,Reveal Diagnostics,5.653323299999999,-0.1788099,"Legon Mall, Accra"
453,First Eye Plaza,5.6414217,-0.1779605,Accra
454,Robotics Programming And Educational Centre,5.6405041,-0.1774926,"1 La-Bawaleshi Road, Accra"
455,BVS Store,5.6677956,-0.18832,MR96+4M7
456,Emamee Beauty Supply,5.66853,-0.1880607,MR96+CQ8
457,GM PLAZA,5.641363599999999,-0.1735047,"JRRG+GHX, Accra"
458,Afia Aboraa Plaza by Rob Definitions,5.641348600000001,-0.1734647,"3 La-Bawaleshi Road, Accra"
459,CENTRE POINT MALL - Atomic Junction,5.667077499999999,-0.1793577,"MR8C+R7J, Accra"
460,Atlantic Mall,5.667450300000001,-0.1784086,"Kwabenya Bus Station, Haatso-Atomic Road, Accra"
461,The Bloom Spa,5.652375399999999,-0.1810482,"Royal Richester Hotel, Legon East Road, Accra"
462,Mamé Eku mobile spa,5.6464196,-0.1957506,"Little Legon, Accra"
463,Akwaaba clinic,5.6671288,-0.1890903,"Shai Hills Forest Resort, Doryumu"
464,Happy Health Haven,5.669005500000001,-0.1866342,"10 Kofi Annan Avenue, Accra"
465,North Legon Spa,5.668616900000001,-0.1825574,"Opposite North Legon Hospital, Kofi Annan Avenue, Accra"
466,Special Touch Massage,5.6540518,-0.1692192,"Mepeasem, Accra"
467,University Of Ghana Sports Stadium,5.6391338,-0.1799011,"University of Ghana Stadium, Accra"
468,University Sports Field,5.6487228,-0.1872572,Accra
469,Hand Ball Court,5.6479421,-0.1878063,Ayawaso
470,National Express Ghana Limited,5.653813,-0.1785154,Accra
471,Pee’s dealership & beauty products ltd,5.652687500000001,-0.1824375,"MR39+32W, Accra"
472,Latex Foam Ltd,5.659960100000001,-0.173094,"MR5G+XQJ, Madina"
473,All Needs Supermarket,5.6429593,-0.1861497,"JRV7+5HR, Jubilee Drive, Accra"
474,University Of Ghana Bookshop,5.6509915,-0.1867112,Accra
475,All Merch.,5.6462593,-0.1872034,"University of Ghana, Mensah Sarbah Hall"
476,GMi Motors,5.653183200000001,-0.1789299,"MR3C+7CG, LegonMall,, Legon Boundary, Accra"
477,YN Productions office,5.644199,-0.178672,"Legon East Road, Accra"
478,Red Vine Apparel,5.6407796,-0.1769928,"okponglo, Legon, Accra"
479,James K Asomah Furniture Works,5.667200100000001,-0.1921146,"Atomic Road, Madina, Accra"
480,Melvic Technologies,5.635477900000001,-0.1873514,"University of Ghana, Elizabeth Frances Sey Hall Room B 2054"
481,Emefa Jewellery Productions Limited,5.667243999999999,-0.193184,"2km down town Haatso road, Accra"
482,Cuppycake House,5.6411701,-0.1743096,"La-Bawaleshi Road, Accra"
483,Cake City Center Point,5.6667129,-0.1798358,"Atomic Haatso Road, Accra"
484,Gesam-Legon Royals,5.650639399999999,-0.1870506,"Legon, Accra"
485,rheda royals,5.650639399999999,-0.1870506,"okponglo street, Accra"
486,Euphoria by Esi,5.650639399999999,-0.1870506,Accra
